                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.2414,                 1.7659,                0.91523,                 1.2482,                      1,                0.65821,                0.77483,                0.53845,                0.62195,                0.41463,                 0.3197,                0.17593,                 1.1583,                 1.3788,                0.89577,                 1.2205,              0.0018178,              0.0018178,              0.0018178
                     26,                 1.2097,                 1.7539,                0.89935,                 1.1944,                0.96513,                0.67516,                 0.7856,                0.54805,                0.60297,                0.39024,                0.29112,                  0.086,                 1.1496,                 1.6864,                0.90985,                 1.2245,              0.0018099,              0.0018099,              0.0018099
                     27,                 1.2971,                 1.8669,                0.91949,                 1.2373,                0.94773,                0.65854,                0.80292,                0.52775,                0.60459,                0.41463,                0.32266,                0.11379,                 1.2629,                  1.583,                 0.9074,                 1.2622,               0.001802,               0.001802,               0.001802
                     28,                 1.3037,                 1.9432,                 0.9682,                 1.2539,                0.96572,                0.68724,                0.81081,                0.54317,                0.63736,                0.43902,                0.37535,                0.19473,                 1.2009,                 1.4057,                0.84532,                 1.2137,              0.0017941,              0.0017941,              0.0017941
                     29,                 1.1489,                 1.6887,                0.79003,                 1.1872,                0.95555,                0.65854,                0.80821,                 0.5667,                0.60054,                0.41463,                0.36414,                0.19605,                 1.1249,                 1.3894,                0.79828,                 1.1961,              0.0017862,              0.0017862,              0.0017862
                     30,                 1.2535,                 1.9373,                0.87128,                 1.2321,                0.92736,                0.68293,                0.79546,                0.54312,                0.54446,                0.41463,                0.33165,                0.16195,                 1.1741,                 1.5704,                0.85112,                 1.2354,              0.0017782,              0.0017782,              0.0017782
                     31,                 1.1983,                 1.7513,                0.86416,                  1.229,                0.79003,                0.68293,                0.75755,                0.56067,                0.76489,                0.36585,                0.43094,                0.23101,                 1.0961,                 1.6817,                0.77702,                   1.16,              0.0017703,              0.0017703,              0.0017703
                     32,                 1.1863,                 1.7709,                0.85803,                 1.2095,                      1,                0.57864,                0.78413,                0.52557,                0.64911,                0.36113,                0.40701,                0.24148,                 1.2242,                 1.8191,                0.89304,                 1.2429,              0.0017624,              0.0017624,              0.0017624
                     33,                 1.2913,                  1.812,                0.90819,                  1.261,                      1,                0.63215,                0.82206,                0.57052,                0.63048,                0.39024,                0.38953,                0.19161,                 1.1813,                 1.4501,                0.87166,                 1.2171,              0.0017545,              0.0017545,              0.0017545
                     34,                 1.2342,                 1.6745,                0.88234,                 1.2189,                      1,                0.60858,                0.81188,                0.56897,                0.75624,                0.46341,                0.43372,                0.26761,                   1.07,                 1.3533,                0.77396,                 1.1704,              0.0017466,              0.0017466,              0.0017466
