                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.0263,                 1.5732,                 0.7089,                 1.1168,                0.87035,                 0.7561,                0.84462,                0.64266,                 0.5559,                 0.4878,                0.46577,                 0.3004,                0.88621,                 1.2751,                0.56948,                 1.0482,              0.0011922,              0.0011922,              0.0011922
                    105,                0.97374,                 1.5241,                0.69959,                  1.091,                0.82148,                 0.7561,                0.83177,                0.63474,                0.73426,                0.36585,                0.40452,                0.30573,                0.90594,                 1.3066,                0.61981,                 1.0559,              0.0011842,              0.0011842,              0.0011842
                    106,                0.94653,                 1.4015,                0.67184,                 1.0817,                0.76757,                 0.7561,                0.81461,                0.62688,                 0.8313,                0.36585,                0.42618,                0.32167,                0.86544,                 1.2685,                0.60928,                 1.0446,              0.0011763,              0.0011763,              0.0011763
                    107,                0.99058,                 1.5287,                0.69543,                 1.0877,                0.93914,                0.75279,                0.85989,                0.63593,                0.91511,                0.36585,                0.45299,                   0.32,                0.90296,                 1.2685,                0.58484,                 1.0563,              0.0011684,              0.0011684,              0.0011684
                    108,                0.99071,                 1.4489,                0.66423,                 1.0953,                0.88441,                 0.7561,                0.83159,                0.65315,                0.58143,                0.43902,                0.44636,                0.33017,                0.81899,                 1.2963,                0.58923,                 1.0334,              0.0011605,              0.0011605,              0.0011605
                    109,                0.92685,                 1.4297,                0.64296,                  1.061,                0.92894,                0.70732,                0.83334,                0.64524,                0.78498,                0.36585,                0.46271,                0.31589,                  0.875,                 1.3113,                0.57858,                 1.0583,              0.0011526,              0.0011526,              0.0011526
                    110,                 0.9662,                 1.4867,                0.63578,                 1.0621,                0.93194,                 0.7561,                0.85967,                0.67338,                0.55728,                0.46059,                0.43341,                0.30338,                0.84998,                  1.288,                0.52623,                 1.0387,              0.0011446,              0.0011446,              0.0011446
                    111,                0.91062,                 1.3497,                0.62205,                 1.0434,                0.86637,                0.80488,                0.85217,                0.63812,                0.65889,                0.39024,                0.42196,                  0.289,                0.95037,                 1.2768,                0.56874,                 1.0816,              0.0011367,              0.0011367,              0.0011367
                    112,                0.92232,                  1.394,                0.63549,                 1.0489,                0.90032,                 0.7561,                0.84147,                0.65418,                  0.548,                0.46341,                0.43162,                0.31333,                0.89376,                 1.2441,                0.60619,                 1.0648,              0.0011288,              0.0011288,              0.0011288
                    113,                0.94991,                 1.4091,                0.64318,                 1.1162,                0.81492,                 0.7561,                0.82573,                0.65113,                 0.7274,                0.39024,                0.42516,                0.30679,                 0.8814,                 1.3149,                0.60714,                  1.061,              0.0011209,              0.0011209,              0.0011209
                    114,                0.97072,                 1.4283,                0.63844,                 1.0597,                0.91106,                 0.7561,                 0.8252,                0.64596,                0.71926,                0.37519,                0.41997,                0.31094,                 0.8579,                 1.3367,                0.60092,                 1.0553,               0.001113,               0.001113,               0.001113
                    115,                0.93931,                 1.4219,                0.61298,                 1.1073,                0.95786,                0.73171,                 0.8665,                0.65222,                0.52436,                0.46341,                0.40423,                  0.282,                0.85212,                 1.3052,                0.57506,                 1.0485,               0.001105,               0.001105,               0.001105
                    116,                0.91942,                 1.3393,                0.64589,                  1.072,                      1,                0.76483,                0.86657,                0.67174,                0.55085,                0.41463,                0.39269,                 0.2702,                0.86997,                  1.308,                0.58102,                 1.0504,              0.0010971,              0.0010971,              0.0010971
                    117,                 0.9424,                 1.4264,                0.63306,                 1.0906,                 0.9565,                 0.7561,                 0.8578,                0.67684,                0.60933,                 0.4878,                0.44468,                0.30907,                0.81103,                 1.2493,                   0.58,                  1.032,              0.0010892,              0.0010892,              0.0010892
                    118,                0.96128,                 1.4124,                0.61819,                 1.0854,                0.93826,                0.74147,                0.85259,                 0.6519,                0.57066,                0.45403,                0.41621,                0.29509,                0.80626,                 1.2604,                0.55362,                 1.0312,              0.0010813,              0.0010813,              0.0010813
                    119,                  0.946,                 1.5462,                0.63501,                 1.0775,                0.81261,                 0.7561,                0.80277,                0.62464,                0.76488,                0.39024,                0.45666,                0.31461,                0.85176,                 1.2514,                0.58634,                  1.048,              0.0010734,              0.0010734,              0.0010734
                    120,                0.96577,                 1.5373,                0.67559,                 1.0623,                0.88593,                0.73171,                0.84834,                0.64685,                0.59123,                0.46341,                0.45032,                0.29888,                 0.8594,                 1.2185,                0.54815,                 1.0297,              0.0010654,              0.0010654,              0.0010654
                    121,                0.99522,                 1.4538,                0.65402,                 1.1052,                0.90718,                0.71534,                0.85116,                0.64823,                0.52277,                 0.5122,                0.45757,                0.30811,                0.86582,                 1.2333,                 0.5428,                 1.0363,              0.0010575,              0.0010575,              0.0010575
                    122,                0.96932,                 1.4557,                 0.6278,                 1.0664,                0.93607,                0.71436,                0.85097,                 0.6489,                0.56679,                0.46341,                0.45808,                0.33648,                0.87099,                 1.2545,                0.57067,                 1.0388,              0.0010496,              0.0010496,              0.0010496
                    123,                 0.9386,                 1.4625,                0.62437,                 1.0702,                0.93892,                0.74999,                0.84392,                0.65851,                0.58723,                0.46341,                0.46915,                0.34717,                0.89037,                 1.2891,                0.58368,                 1.0477,              0.0010417,              0.0010417,              0.0010417
                    124,                0.96067,                  1.515,                0.64587,                 1.0648,                0.93177,                0.73171,                 0.8395,                0.64917,                0.58384,                0.46341,                0.43615,                0.32237,                0.86775,                 1.2573,                0.55304,                 1.0379,              0.0010338,              0.0010338,              0.0010338
                    125,                0.85187,                 1.2957,                 0.5951,                 1.0281,                0.80029,                0.78049,                0.82314,                0.64433,                0.80574,                0.36585,                0.43791,                0.30586,                0.84396,                 1.2956,                 0.5684,                 1.0418,              0.0010258,              0.0010258,              0.0010258
                    126,                0.85527,                 1.3903,                0.60174,                 1.0324,                0.90462,                 0.7561,                0.83722,                0.64469,                0.55274,                0.46341,                0.41485,                 0.3001,                0.91338,                 1.3461,                0.56597,                 1.0549,              0.0010179,              0.0010179,              0.0010179
                    127,                0.95574,                 1.4733,                0.62646,                 1.0769,                0.96762,                0.72903,                0.84593,                0.66965,                0.54423,                0.43902,                0.42607,                0.30412,                0.87132,                 1.2839,                0.56696,                 1.0392,                0.00101,                0.00101,                0.00101
                    128,                0.94395,                  1.461,                0.63294,                 1.0543,                 0.8854,                0.78049,                0.84744,                0.66516,                0.84077,                0.36585,                0.45396,                 0.3275,                0.86632,                 1.3026,                0.57121,                 1.0522,              0.0010021,              0.0010021,              0.0010021
                    129,                0.87579,                 1.3795,                0.58722,                 1.0407,                0.93736,                0.73006,                0.84542,                0.67078,                 0.5891,                0.45476,                0.44928,                0.31802,                0.87492,                 1.3013,                0.54159,                 1.0498,             0.00099416,             0.00099416,             0.00099416
                    130,                0.92803,                 1.4597,                0.62104,                 1.0419,                0.90647,                 0.7561,                0.83952,                 0.6622,                0.59294,                0.46191,                0.45645,                0.31678,                0.89381,                 1.3403,                0.57295,                 1.0786,             0.00098624,             0.00098624,             0.00098624
                    131,                0.98064,                 1.5022,                0.63582,                 1.0803,                0.88218,                0.78049,                 0.8255,                0.64593,                 0.8033,                0.36585,                0.47282,                 0.3324,                0.89837,                 1.2992,                0.55748,                 1.0726,             0.00097832,             0.00097832,             0.00097832
                    132,                 0.8336,                 1.3832,                0.58327,                 1.0137,                 0.9136,                 0.7739,                0.84005,                 0.6625,                0.57609,                0.46341,                0.45326,                0.31158,                0.89745,                 1.2913,                0.53605,                 1.0695,              0.0009704,              0.0009704,              0.0009704
                    133,                0.94145,                 1.4121,                0.63679,                 1.0642,                0.92712,                0.73171,                0.85291,                0.65443,                0.62353,                0.43902,                0.44685,                0.31953,                0.90573,                 1.2596,                0.56535,                 1.0566,             0.00096248,             0.00096248,             0.00096248
                    134,                 0.9743,                 1.4708,                0.64062,                 1.0826,                0.88197,                 0.7561,                0.82828,                0.65245,                0.84752,                0.36585,                0.44062,                0.29836,                0.86731,                 1.2977,                0.57268,                 1.0664,             0.00095456,             0.00095456,             0.00095456
                    135,                0.90981,                 1.3949,                0.64595,                 1.0343,                 0.9387,                0.74721,                0.82746,                0.64454,                0.57549,                0.43902,                0.39464,                0.28995,                0.84992,                 1.2422,                0.57089,                  1.038,             0.00094664,             0.00094664,             0.00094664
                    136,                 0.8726,                 1.3394,                0.61172,                 1.0273,                0.91034,                 0.7431,                0.84013,                 0.6703,                0.63838,                 0.4878,                0.49102,                0.32502,                0.82917,                 1.2098,                0.54218,                 1.0311,             0.00093872,             0.00093872,             0.00093872
                    137,                0.89611,                 1.3843,                0.61976,                 1.0343,                 0.8812,                 0.7561,                0.83453,                0.66153,                0.87235,                0.39024,                0.49011,                0.33863,                0.88604,                 1.2207,                0.56136,                 1.0533,              0.0009308,              0.0009308,              0.0009308
                    138,                0.94401,                 1.5137,                0.63681,                 1.0514,                0.88858,                0.77811,                0.84097,                0.64995,                0.55447,                0.48572,                0.47851,                0.31329,                0.86318,                 1.2426,                0.55087,                 1.0326,             0.00092288,             0.00092288,             0.00092288
                    139,                 0.9038,                 1.4537,                0.61193,                 1.0533,                0.91377,                0.77553,                 0.8375,                 0.6589,                0.56945,                0.48398,                 0.4752,                 0.3168,                0.82404,                 1.2657,                0.53881,                 1.0259,             0.00091496,             0.00091496,             0.00091496
                    140,                0.88451,                 1.3355,                0.60456,                 1.0417,                 0.8811,                 0.7561,                 0.8233,                0.64043,                0.77956,                0.43902,                 0.4855,                0.34327,                0.88026,                  1.357,                0.57345,                 1.0523,             0.00090704,             0.00090704,             0.00090704
                    141,                0.88108,                 1.3464,                0.61058,                 1.0423,                0.93379,                 0.7561,                0.84795,                0.65392,                0.56953,                0.46341,                0.43821,                0.32736,                0.88398,                 1.3673,                0.56051,                 1.0711,             0.00089912,             0.00089912,             0.00089912
                    142,                0.86322,                  1.303,                0.58711,                 1.0271,                0.93344,                 0.7561,                0.83495,                0.64796,                0.56825,                0.46341,                0.43797,                 0.3384,                0.92805,                 1.3054,                0.56673,                 1.0815,              0.0008912,              0.0008912,              0.0008912
                    143,                0.83096,                 1.2585,                0.59766,                 1.0031,                0.87578,                 0.7561,                0.81852,                0.64466,                0.86468,                0.36585,                0.45834,                 0.3399,                0.89826,                 1.3167,                0.58159,                 1.0821,             0.00088328,             0.00088328,             0.00088328
                    144,                0.92757,                 1.4336,                0.62692,                 1.0717,                0.88782,                0.77228,                0.83375,                0.65563,                0.85966,                0.36585,                 0.4616,                 0.3069,                0.86837,                 1.3275,                0.55852,                 1.0593,             0.00087536,             0.00087536,             0.00087536
                    145,                0.87016,                 1.3714,                0.60284,                 1.0345,                0.90257,                 0.7561,                0.83856,                0.66744,                0.58133,                 0.4878,                0.45564,                 0.3068,                0.84973,                 1.2627,                0.53653,                 1.0328,             0.00086744,             0.00086744,             0.00086744
                    146,                0.87579,                 1.3334,                0.58641,                 1.0365,                0.86623,                0.78982,                0.82971,                0.64031,                0.58301,                 0.4878,                0.45874,                0.30012,                0.91631,                 1.2788,                0.55259,                 1.0551,             0.00085952,             0.00085952,             0.00085952
                    147,                0.82394,                 1.3232,                0.57353,                 1.0138,                0.86819,                 0.8033,                0.81737,                 0.6357,                0.57142,                0.48778,                 0.4407,                0.31137,                0.89946,                 1.3195,                0.57046,                   1.07,              0.0008516,              0.0008516,              0.0008516
                    148,                0.91326,                 1.4469,                0.59326,                 1.0628,                0.91615,                0.79963,                0.84106,                0.64698,                 0.5533,                 0.4878,                0.40475,                0.27105,                0.84185,                 1.3354,                0.53621,                  1.039,             0.00084368,             0.00084368,             0.00084368
                    149,                0.86634,                 1.2767,                0.58487,                 1.0334,                0.91236,                0.80488,                0.84701,                0.64942,                0.57591,                 0.5122,                0.44489,                0.29458,                0.82358,                 1.2823,                0.52845,                 1.0266,             0.00083576,             0.00083576,             0.00083576
                    150,                0.85018,                 1.3201,                0.55461,                 1.0358,                 0.8743,                0.78049,                0.85368,                 0.6571,                0.52428,                0.43902,                0.44617,                0.31404,                 0.8394,                 1.2653,                0.53251,                 1.0361,             0.00082784,             0.00082784,             0.00082784
                    151,                0.86223,                 1.2868,                0.58883,                 1.0292,                0.90749,                0.78049,                0.84599,                0.65889,                0.80467,                0.39024,                0.47814,                0.34332,                0.84267,                 1.2831,                0.53733,                 1.0449,             0.00081992,             0.00081992,             0.00081992
                    152,                0.92929,                 1.4758,                0.61326,                 1.0712,                0.88895,                 0.7561,                0.81461,                0.64422,                0.85899,                0.39024,                0.46591,                0.35053,                0.82932,                  1.284,                0.51352,                 1.0397,               0.000812,               0.000812,               0.000812
                    153,                0.93303,                 1.3553,                0.62228,                 1.0688,                0.88849,                0.77741,                0.83427,                0.65105,                0.53933,                0.46341,                0.43987,                0.30662,                0.83764,                 1.2743,                0.53932,                  1.042,             0.00080408,             0.00080408,             0.00080408
                    154,                0.87096,                 1.3416,                0.59008,                 1.0492,                0.90124,                 0.7561,                0.83481,                0.64248,                0.55038,                0.46341,                0.39934,                0.27751,                0.89884,                 1.2944,                0.55015,                 1.0582,             0.00079616,             0.00079616,             0.00079616
                    155,                0.86514,                 1.3743,                0.59183,                  1.051,                0.95336,                 0.7561,                0.84937,                0.66736,                0.59088,                0.46341,                0.41363,                0.29967,                 0.8445,                 1.2677,                 0.5223,                 1.0494,             0.00078824,             0.00078824,             0.00078824
                    156,                0.87541,                 1.3682,                0.58865,                 1.0365,                0.88961,                0.78634,                0.84366,                0.65725,                0.53367,                0.43902,                0.42366,                0.32218,                0.86587,                 1.3547,                0.53449,                 1.0645,             0.00078032,             0.00078032,             0.00078032
                    157,                0.92869,                 1.4013,                0.63627,                 1.0549,                 0.9078,                0.78049,                0.83695,                 0.6493,                0.61285,                 0.4878,                0.47205,                0.33221,                0.88031,                 1.3382,                 0.5518,                 1.0648,              0.0007724,              0.0007724,              0.0007724
                    158,                0.89249,                 1.3776,                0.60365,                 1.0738,                0.93402,                 0.7561,                0.84384,                0.64566,                0.60788,                 0.4878,                0.46522,                0.31088,                0.87238,                 1.2971,                0.54364,                 1.0655,             0.00076448,             0.00076448,             0.00076448
                    159,                0.86778,                 1.3563,                0.57692,                 1.0169,                0.93776,                 0.7561,                0.84367,                0.65404,                0.57572,                0.46341,                0.48006,                0.32271,                 0.8738,                 1.3109,                0.52897,                 1.0643,             0.00075656,             0.00075656,             0.00075656
                    160,                0.86916,                 1.4159,                0.60178,                 1.0176,                0.95975,                 0.7561,                0.84988,                0.66634,                0.59214,                0.46341,                0.45933,                0.32168,                 0.8353,                 1.2986,                0.52969,                 1.0405,             0.00074864,             0.00074864,             0.00074864
                    161,                0.89497,                 1.3763,                0.62184,                 1.0406,                0.93001,                 0.7561,                  0.846,                0.66607,                0.59103,                0.46341,                0.44333,                0.31307,                 0.8092,                 1.2747,                0.54641,                 1.0238,             0.00074072,             0.00074072,             0.00074072
                    162,                0.81337,                 1.2371,                0.55627,                 1.0018,                0.90377,                 0.7561,                0.83865,                0.66388,                0.66329,                0.48064,                0.48656,                 0.3418,                0.83225,                 1.3061,                0.52247,                 1.0311,              0.0007328,              0.0007328,              0.0007328
                    163,                 0.8782,                 1.4207,                0.59207,                 1.0181,                0.89785,                 0.7561,                0.83116,                0.65391,                0.78634,                0.39024,                0.46989,                0.33852,                0.79331,                 1.2469,                0.52984,                 1.0098,             0.00072488,             0.00072488,             0.00072488
                    164,                0.88038,                 1.4059,                 0.5772,                  1.026,                0.90527,                 0.7561,                0.84307,                 0.6598,                0.52183,                0.50585,                  0.462,                0.32406,                0.78744,                 1.2639,                0.50851,                 1.0097,             0.00071696,             0.00071696,             0.00071696
                    165,                0.85746,                  1.378,                0.60002,                 1.0183,                0.95671,                 0.7561,                0.85529,                0.66298,                0.58352,                0.46341,                0.44096,                0.32037,                 0.8316,                 1.2948,                0.51094,                 1.0334,             0.00070904,             0.00070904,             0.00070904
                    166,                0.84658,                 1.3749,                0.59287,                 1.0276,                0.91335,                0.77143,                0.86321,                0.66401,                0.56721,                0.47965,                0.46483,                0.32258,                0.85634,                 1.3401,                0.51233,                 1.0404,             0.00070112,             0.00070112,             0.00070112
                    167,                0.81965,                 1.2988,                0.55328,                 1.0242,                0.94903,                 0.7561,                0.85552,                0.67163,                0.60623,                 0.4878,                0.48537,                0.33413,                0.84069,                 1.2932,                0.49606,                 1.0271,              0.0006932,              0.0006932,              0.0006932
                    168,                0.83047,                  1.327,                0.60164,                 1.0224,                0.93205,                 0.7561,                0.85979,                0.66398,                0.60112,                 0.4878,                0.48923,                0.32275,                0.86323,                 1.3111,                0.51275,                 1.0449,             0.00068528,             0.00068528,             0.00068528
                    169,                0.84771,                 1.3892,                0.58773,                  1.023,                0.92838,                 0.7561,                0.84205,                0.66506,                 0.5726,                0.46341,                0.46641,                0.32906,                0.81348,                 1.3218,                0.50524,                 1.0354,             0.00067736,             0.00067736,             0.00067736
                    170,                0.87444,                 1.3972,                0.59111,                 1.0398,                0.93889,                0.74955,                0.83538,                0.65824,                0.61577,                 0.4878,                0.47486,                0.33862,                0.76039,                 1.3734,                0.53508,                 1.0136,             0.00066944,             0.00066944,             0.00066944
                    171,                0.90837,                 1.4524,                 0.6015,                  1.055,                0.92887,                 0.7561,                0.84486,                0.66883,                0.66658,                0.53659,                0.51596,                 0.3183,                 0.7756,                 1.4086,                0.52242,                 1.0184,             0.00066152,             0.00066152,             0.00066152
                    172,                0.83409,                 1.2947,                0.56665,                 1.0117,                0.94097,                0.77768,                0.85064,                0.66316,                0.59045,                0.46341,                0.45933,                0.32548,                0.80167,                 1.3809,                0.52036,                 1.0142,              0.0006536,              0.0006536,              0.0006536
                    173,                0.90787,                 1.4258,                0.61627,                 1.0465,                0.94002,                0.76464,                0.84776,                0.64685,                0.86002,                0.39024,                0.47249,                0.32126,                0.80167,                 1.3645,                 0.5218,                 1.0175,             0.00064568,             0.00064568,             0.00064568
                    174,                0.81707,                 1.3257,                0.56646,                 1.0221,                0.94069,                 0.7738,                0.83745,                0.65735,                0.79255,                0.39024,                0.47339,                0.33382,                 0.8168,                 1.3962,                0.50487,                 1.0649,             0.00063776,             0.00063776,             0.00063776
                    175,                0.79542,                 1.2495,                0.54987,                0.99536,                0.93698,                 0.7561,                0.83544,                 0.6511,                0.57127,                0.46341,                0.46599,                0.32868,                0.80481,                 1.3064,                0.48741,                 1.0678,             0.00062984,             0.00062984,             0.00062984
                    176,                0.78303,                 1.2209,                0.53003,                0.99443,                0.91366,                0.77444,                0.83934,                0.66173,                0.62864,                0.43902,                 0.4722,                 0.3144,                0.86278,                 1.3653,                0.50611,                 1.0666,             0.00062192,             0.00062192,             0.00062192
                    177,                 0.8223,                 1.3737,                0.56619,                 1.0203,                0.91281,                0.78049,                0.83349,                 0.6493,                0.84551,                0.36585,                0.47626,                0.31109,                0.85388,                 1.4274,                0.50937,                 1.0435,               0.000614,               0.000614,               0.000614
                    178,                0.80105,                 1.2244,                0.56731,                  1.006,                0.94059,                0.77242,                0.85119,                0.66321,                0.60024,                 0.4878,                0.48707,                0.31509,                0.83926,                 1.4716,                0.51035,                 1.0308,             0.00060608,             0.00060608,             0.00060608
                    179,                0.77278,                 1.1955,                0.51156,                 1.0054,                0.93936,                0.75567,                0.84858,                0.66977,                0.60351,                 0.4878,                 0.4641,                0.30602,                0.84653,                 1.4027,                0.50858,                  1.038,             0.00059816,             0.00059816,             0.00059816
                    180,                0.85622,                 1.3984,                0.57214,                 1.0381,                0.94149,                 0.7561,                0.84799,                0.68182,                0.54598,                0.43902,                0.42062,                0.29864,                0.83257,                 1.3053,                0.48366,                 1.0388,             0.00059024,             0.00059024,             0.00059024
                    181,                0.84473,                 1.4511,                0.57782,                  1.025,                0.93212,                 0.7561,                0.84851,                 0.6811,                0.57087,                0.46341,                0.46423,                0.33426,                0.78968,                 1.2642,                0.48145,                 1.0193,             0.00058232,             0.00058232,             0.00058232
                    182,                0.76518,                 1.2439,                0.51648,                0.99503,                0.94063,                0.77306,                0.85772,                0.67472,                0.57342,                0.46341,                 0.4594,                0.34565,                0.78489,                 1.3198,                0.50234,                  1.023,              0.0005744,              0.0005744,              0.0005744
                    183,                0.89193,                 1.4745,                0.61147,                 1.0453,                0.96964,                0.77896,                0.86924,                0.68725,                0.56921,                0.46341,                0.45428,                0.33688,                0.77822,                 1.3008,                0.48067,                 1.0124,             0.00056648,             0.00056648,             0.00056648
                    184,                0.81984,                 1.3396,                0.57101,                0.99546,                0.96937,                0.77214,                 0.8633,                0.68168,                0.58943,                0.46341,                0.45244,                0.33426,                  0.793,                 1.2716,                0.47863,                 1.0144,             0.00055856,             0.00055856,             0.00055856
                    185,                0.83066,                 1.3584,                 0.5547,                 1.0494,                0.96852,                0.75043,                0.85891,                0.66355,                0.58875,                0.46341,                0.44559,                0.31757,                0.76288,                  1.287,                0.49976,                 1.0006,             0.00055064,             0.00055064,             0.00055064
                    186,                0.80999,                 1.2813,                0.54896,                0.99981,                 0.9132,                0.78049,                0.86282,                0.65741,                0.79773,                0.36585,                0.42443,                 0.3075,                0.78926,                 1.3125,                0.50234,                 1.0089,             0.00054272,             0.00054272,             0.00054272
                    187,                0.80395,                 1.3124,                0.54707,                0.99013,                0.91162,                0.78049,                 0.8448,                 0.6471,                0.58342,                 0.4878,                0.47898,                0.32803,                0.78121,                 1.3272,                0.50431,                 1.0132,              0.0005348,              0.0005348,              0.0005348
                    188,                0.80773,                 1.2836,                 0.5311,                0.99585,                0.91245,                0.78049,                0.85339,                0.66207,                0.58399,                 0.4878,                0.49211,                0.34982,                0.78105,                 1.3702,                0.49918,                 1.0299,             0.00052688,             0.00052688,             0.00052688
                    189,                0.79788,                 1.3413,                 0.5586,                 1.0116,                0.91335,                0.78049,                0.85389,                0.66523,                0.80746,                0.36585,                0.44445,                0.33055,                0.80851,                  1.354,                0.47948,                 1.0475,             0.00051896,             0.00051896,             0.00051896
                    190,                0.84627,                 1.2696,                0.56919,                 1.0326,                0.94087,                0.77633,                0.86445,                0.67201,                0.55041,                0.43902,                0.43371,                0.31106,                0.80947,                 1.3617,                0.50709,                  1.046,             0.00051104,             0.00051104,             0.00051104
                    191,                0.87203,                 1.3661,                0.59162,                 1.0479,                0.93896,                0.78049,                0.86634,                  0.685,                0.60254,                 0.4878,                0.46537,                0.31738,                0.83557,                  1.429,                0.53139,                 1.0386,             0.00050312,             0.00050312,             0.00050312
                    192,                0.80887,                 1.3568,                0.55314,                 0.9996,                 0.9088,                0.78049,                0.84718,                0.66693,                0.63069,                 0.5122,                  0.524,                0.34295,                0.82649,                 1.5164,                0.51133,                 1.0271,              0.0004952,              0.0004952,              0.0004952
                    193,                0.76615,                 1.2752,                0.53628,                0.99563,                0.91079,                0.78049,                0.84118,                0.66526,                0.63794,                 0.4878,                0.50277,                0.33996,                0.83938,                  1.553,                0.50073,                 1.0346,             0.00048728,             0.00048728,             0.00048728
                    194,                0.82445,                 1.2799,                0.54199,                 1.0171,                0.90988,                0.78049,                0.85118,                0.65967,                0.58669,                 0.4878,                0.46223,                0.33211,                 0.8358,                 1.4331,                0.51159,                 1.0268,             0.00047936,             0.00047936,             0.00047936
                    195,                0.77753,                 1.2937,                0.54255,                 1.0127,                0.90922,                0.78049,                0.84121,                0.65581,                0.61725,                 0.5122,                0.49457,                0.32163,                0.82381,                 1.4044,                0.51681,                 1.0263,             0.00047144,             0.00047144,             0.00047144
                    196,                0.76359,                 1.2106,                0.52115,                0.98506,                0.89966,                0.78049,                0.84085,                 0.6569,                0.59186,                 0.5122,                0.50182,                0.33378,                0.81746,                  1.423,                  0.511,                 1.0378,             0.00046352,             0.00046352,             0.00046352
                    197,                0.79446,                 1.2634,                0.51467,                 1.0145,                 0.9109,                0.74825,                0.83514,                0.65713,                0.61529,                0.50724,                0.50087,                0.35302,                0.82431,                 1.4673,                0.50853,                 1.0455,              0.0004556,              0.0004556,              0.0004556
                    198,                0.77716,                 1.2745,                0.51644,                0.99423,                0.92935,                0.78049,                0.85353,                 0.6584,                0.60303,                 0.5122,                0.49893,                0.34566,                0.81526,                 1.4479,                0.48871,                 1.0384,             0.00044768,             0.00044768,             0.00044768
                    199,                0.79472,                 1.2962,                0.54621,                 1.0133,                0.93635,                 0.7561,                0.84716,                0.65624,                 0.6005,                 0.4878,                0.49612,                0.34602,                0.83357,                 1.4469,                0.49536,                 1.0459,             0.00043976,             0.00043976,             0.00043976
                    200,                0.78266,                 1.1845,                0.52855,                0.99378,                0.93827,                0.74156,                0.84035,                0.64952,                0.69652,                0.43902,                0.49071,                0.35582,                0.81615,                 1.4488,                0.48906,                 1.0461,             0.00043184,             0.00043184,             0.00043184
                    201,                0.79408,                  1.349,                0.53492,                 1.0079,                0.94104,                0.77861,                0.83805,                0.65265,                0.61427,                 0.5122,                0.50353,                0.34423,                0.84322,                 1.4318,                0.50842,                 1.0448,             0.00042392,             0.00042392,             0.00042392
                    202,                0.75512,                 1.2619,                0.55061,                0.98791,                0.93225,                 0.7561,                0.83688,                0.63815,                0.56916,                0.46341,                0.45906,                0.33352,                0.85322,                 1.3886,                 0.5112,                 1.0525,               0.000416,               0.000416,               0.000416
                    203,                0.82149,                 1.2844,                0.56697,                 1.0118,                0.93425,                 0.7561,                0.84368,                0.64426,                0.57156,                0.46341,                0.46345,                0.33195,                0.91458,                 1.4032,                0.50592,                 1.0712,             0.00040808,             0.00040808,             0.00040808
                    204,                0.82231,                  1.355,                0.55292,                 1.0064,                0.89383,                0.82927,                0.86387,                0.66542,                0.57212,                0.46341,                0.45642,                0.33063,                0.90137,                 1.3915,                0.48057,                  1.062,             0.00040016,             0.00040016,             0.00040016
                    205,                0.86638,                 1.4068,                0.56634,                 1.0381,                0.94113,                0.77987,                0.86856,                0.66485,                0.57173,                0.46341,                0.44652,                0.32842,                0.85457,                 1.3305,                0.45597,                 1.0439,             0.00039224,             0.00039224,             0.00039224
                    206,                0.77905,                 1.2668,                0.56236,                0.99929,                0.93984,                0.78049,                0.85569,                0.66519,                0.57072,                0.46341,                0.44432,                0.33498,                0.83262,                 1.2719,                 0.4518,                 1.0455,             0.00038432,             0.00038432,             0.00038432
                    207,                0.75507,                 1.2245,                0.51233,                0.97904,                 0.9405,                0.78049,                0.85421,                0.65634,                0.58233,                0.46341,                0.45481,                0.32006,                0.89242,                 1.3085,                0.48651,                  1.073,              0.0003764,              0.0003764,              0.0003764
                    208,                0.80884,                 1.3062,                0.54208,                  1.009,                0.94107,                0.77902,                0.85107,                  0.663,                0.63227,                 0.5122,                0.51839,                0.34176,                0.88205,                 1.3193,                0.49765,                 1.0777,             0.00036848,             0.00036848,             0.00036848
                    209,                0.80047,                 1.1917,                0.53062,                 1.0088,                0.90534,                0.78049,                0.84223,                0.64926,                0.65778,                0.53659,                0.54323,                0.35155,                0.83753,                  1.392,                0.49148,                 1.0665,             0.00036056,             0.00036056,             0.00036056
                    210,                0.74926,                 1.2389,                0.52053,                0.96569,                0.93383,                0.78049,                 0.8475,                0.65264,                0.64517,                0.53659,                0.52777,                0.34074,                0.81178,                 1.4579,                0.48767,                 1.0504,             0.00035264,             0.00035264,             0.00035264
                    211,                0.78975,                 1.2264,                0.51144,                 1.0067,                0.91685,                 0.7561,                0.82187,                0.65062,                0.64786,                0.53659,                 0.5089,                0.32565,                0.82827,                 1.4506,                0.48039,                 1.0532,             0.00034472,             0.00034472,             0.00034472
                    212,                0.76055,                 1.1811,                0.49836,                 1.0067,                0.88775,                0.77177,                0.83287,                0.65958,                 0.6097,                 0.5122,                0.49695,                0.33783,                0.81576,                 1.4254,                0.47587,                 1.0477,              0.0003368,              0.0003368,              0.0003368
